Username,Full_Name,Bio,Followers,Following,numof_Posts,Is_Private,Real
mastercoolthebest51,Master Cool,Building my empire one post at a time.,59,4120,6,TRUE,0
cool69854,Cool,"Catch flights, not feelings. fakepromo.com",87,4344,18,FALSE,0
masterluv283,Master,"Exploring life, one selfie at a time.",64,2236,19,FALSE,0
ultrathebest72,Ultra,Just another internet wanderer. linktr.ee/fake,27,4942,6,TRUE,0
queen12384,Queen,"Here for a good time, not a long time.",43,4520,13,FALSE,0
queencoolluv748,Queen Cool,In a committed relationship with food.,183,3675,4,TRUE,0
fanthebest514,Fan,Posting random moments of my life.,84,1766,7,FALSE,0
bestloverluv331,Best Lover,Digital dreams and midnight memes.,38,866,6,TRUE,0
chickcoolthebest493,Chick Cool,Professional overthinker. onlyfans.com/fake,26,1631,2,TRUE,0
girlfake2024441,Girl Fake,DM for promotions and features.,139,1358,9,FALSE,0
fastfake319,Fast,Chasing clout like it's my job. linktr.ee/fake,27,2505,8,FALSE,0
fakexx349,Fake,Reality is overrated.,58,2853,13,TRUE,0
chickcool007977,Chick Cool,"Don't follow me, I'm lost too.",95,355,19,TRUE,0
bossmaster69472,Boss Master,"Trying to go viral, one post at a time. mylink.com/fake",29,2621,0,TRUE,0
ultra6913,Ultra,Low key but kinda loud. onlyfans.com/fake,178,1362,16,FALSE,0
crazydarkvip905,Crazy Dark,"Click the link, change your life. bit.ly/fakepage",68,3465,9,TRUE,0
girlsilent007646,Girl Silent,Living for likes and follows. linktr.ee/fake,188,4140,1,TRUE,0
girl123427,Girl,Your daily dose of nothing. bit.ly/fakepage,52,4537,16,TRUE,0
ultrafast2024515,Ultra Fast,Running on caffeine and chaos.,118,1233,11,FALSE,0
megacoolvip53,Mega Cool,Officially unofficial. linktr.ee/fake,147,3373,5,TRUE,0
boycoolthebest26,Boy Cool,Welcome to my highlight reel.,163,757,19,TRUE,0
ultrafakexx16,Ultra Fake,Here to make the algorithm love me.,45,3034,0,FALSE,0
boss69685,Boss,404 bio not found.,107,783,17,FALSE,0
boythebest290,Boy,Aesthetic but chaotic. mylink.com/fake,101,1643,7,TRUE,0
kingthebest398,King,Addicted to scrolling.,170,679,8,TRUE,0
boss2024288,Boss,"My life, my rules, my bio.",2,3705,12,TRUE,0
ultraxoxo313,Ultra,Too glam to give a damn.,181,587,13,TRUE,0
boygirlthebest754,Boy Girl,Fake it till you make it. onlyfans.com/fake,136,1977,7,FALSE,0
fanboyfake95,Fan Boy,Scrolling endlessly since 2020.,12,1365,0,TRUE,0
silentluv698,Silent,Swipe up to nothing.,79,1113,9,TRUE,0
fashion_surface571,Paul Burns,Daily outfits & style inspo 👠🧥 #Vibes,3044,697,72,No,0
anime_concern705,Dr. James Herring MD,Anime is life 🎌🖤 #Vibes,6667,602,59,No,0
fitness_lot396,Jason Coleman,Sweat. Smile. Repeat 💪🏼🏋️ #LoveIt,2119,322,56,Yes,0
cars_something235,Christina Smith,"Speed thrills, brakes kill 🏎️🔥 #LoveIt",6809,239,56,Yes,0
music_inside428,Christopher Hensley,Vibing through life one song at a time 🎶🎧 #Goals,8096,338,57,Yes,0
tech_race61,Tara Hill,Coding my dreams into reality 💻✨ #Life,5391,190,54,No,0
clarkclark86,Casey Clark,,48,940,910,TRUE,0
smithskylar268,Skylar Smith,,99,529,680,TRUE,0
caseycasey738,Casey Brown,,422,684,905,TRUE,0
johnsonjohnson1,Jordan Johnson,,107,96,789,TRUE,0
ralph_hampton7561,Ralph Hampton,Themselves claim wear contain three father.,8,124,9,TRUE,0
matthew_robinson7794,Matthew Robinson,Husband idea ago late outside plant management.,64,181,10,FALSE,0
sara_colon2765,Sara Colon,Tough partner race operation themselves.,8,199,0,FALSE,0
michael_randall9360,Michael Randall,Enjoy sort give or certain threat list explain begin bag the lawyer water season red feeling.,78,78,3,TRUE,0
fitness_cost299,Kevin Jordan,Sweat. Smile. Repeat 💪🏼🏋️ #Daily,709,144,57,No,0
evan_cole4179,Evan Cole,Key raise truth them through fast himself.,110,23,10,FALSE,0
aesthetic_west995,Diana Lopez,Life’s better in pastel 🌸📷 #Life,2984,975,98,Yes,0
travel_think116,Andrew Russo,Exploring hidden gems 🌍✈️ #Inspo,4914,1384,76,No,0
music_clearly339,Gregory Mendez,Vibing through life one song at a time 🎶🎧 #Life,8964,1094,15,No,0
dylan_walker6278,Dylan Walker,Democrat yard make them near focus activity eye push event born organization suggest.,39,153,4,FALSE,0
morgan24,Morgan,,180,260,324,TRUE,0
brownbrown81,Jordan Brown,,326,252,780,TRUE,0
johnsonjohnson44,Drew Johnson,,439,762,9,TRUE,0
deborah_armstrong504,Deborah Armstrong,Skill stock make wind truth after push lawyer.,142,119,0,TRUE,0
amanda_liu2257,Amanda Liu,Respond politics international hair recently list every after history season wide whatever.,11,148,3,FALSE,0
matthew_cooke8602,Matthew Cooke,Professor level still seven foot room dark skill like international near newspaper growth send.,106,169,2,FALSE,0
crystal_whitaker4919,Crystal Whitaker,Sport growth place final federal weight and hold commercial home.,88,62,1,FALSE,0
stanley_sellers_dds6088,Stanley Sellers DDS,Real upon station worry degree over letter senior require heart someone eight.,75,86,5,TRUE,0
taylor58,Taylor,,258,306,998,TRUE,0
millertaylor61,Taylor Miller,,376,979,147,TRUE,0
dennis_dougherty2822,Dennis Dougherty,Recently my many gas list over pressure cut stop decide difference building hit opportunity establish.,64,189,1,TRUE,0
mark_green1405,Mark Green,Cold factor worker return detail poor prepare.,33,42,8,TRUE,0
kathryn_rivera3647,Kathryn Rivera,Stuff keep audience sport start decision drop enter.,104,32,4,FALSE,0
antonio_terry2458,Antonio Terry,Stuff by little wish beat wall.,57,27,5,FALSE,0
cbrown,Lisa Young,Get rich quick,47419,2757,45,TRUE,0
dennis06,Kenneth Gross,Crypto expert,41518,7004,30,FALSE,0
woodwardaustin,Karen Trevino,DM to collab,17258,5325,45,TRUE,0
zhoffman,Patrick Freeman,Others network thus describe apply.,7967,2933,8,FALSE,1
allen_wade2137,Allen Wade,Minute you wind officer environmental what.,107,129,7,TRUE,0
matthew_wilkinson8549,Matthew Wilkinson,Within Congress agreement worry including kid music mission.,125,51,1,FALSE,0
amy_collins8326,Amy Collins,When them decade goal pretty subject present.,102,186,1,TRUE,0
mr._joseph_cook8698,Mr. Joseph Cook,Soldier week teach fill final mouth machine positive tend each begin.,83,12,10,FALSE,0
brett_stewart7788,Brett Stewart,Science attack pretty require near six force discussion.,37,115,1,FALSE,0
